frame,time_s,absolute_error_mm,absolute_error_px
1,0.000000,1.206115,14.051825
2,0.066667,1.206152,14.052254
3,0.133333,1.206152,14.052254
4,0.200000,1.206152,14.052254
5,0.266667,1.206152,14.052254
6,0.333333,1.206152,14.052254
7,0.400000,1.206152,14.052254
8,0.466667,1.206152,14.052254
9,0.533333,1.206152,14.052254
10,0.600000,1.206152,14.052254
11,0.666667,1.206152,14.052254
12,0.733333,1.206152,14.052254
13,0.800000,1.206152,14.052254
14,0.866667,1.206152,14.052254
15,0.933333,1.206152,14.052254
16,1.000000,1.206152,14.052254
17,1.066667,1.206152,14.052254
18,1.133333,1.206152,14.052254
19,1.200000,1.206177,14.052546
20,1.266667,1.206177,14.052546
21,1.333333,1.206177,14.052546
22,1.400000,1.206177,14.052546
23,1.466667,1.206177,14.052546
24,1.533333,1.206475,14.056018
25,1.600000,1.096982,12.780368
26,1.666667,1.063328,12.388282
27,1.733333,0.872118,10.160599
28,1.800000,0.790486,9.209542
29,1.866667,0.726865,8.468326
30,1.933333,0.670304,7.809372
31,2.000000,0.680307,7.925906
32,2.066667,0.661120,7.702372
33,2.133333,0.550091,6.408830
38,2.466667,2.845601,33.152632
39,2.533333,2.842032,33.111058
40,2.600000,2.824140,32.902601
41,2.666667,2.833410,33.010598
42,2.733333,2.837884,33.062730
43,2.800000,3.622576,42.204768
44,2.866667,3.617539,42.146080
45,2.933333,3.611364,42.074140
46,3.000000,3.612866,42.091648
47,3.066667,3.611574,42.076592
48,3.133333,0.515240,6.002797
49,3.200000,0.489960,5.708271
50,3.266667,0.459000,5.347571
51,3.333333,0.420932,4.904066
52,3.400000,0.340297,3.964624
53,3.466667,0.189975,2.213299
54,3.533333,0.077206,0.899488
55,3.600000,0.024083,0.280584
56,3.666667,0.021691,0.252706
57,3.733333,0.022978,0.267705
58,3.800000,0.024269,0.282746
59,3.866667,0.025328,0.295078
60,3.933333,0.029367,0.342136
61,4.000000,0.029458,0.343197
62,4.066667,0.032751,0.381568
63,4.133333,0.035119,0.409150
64,4.200000,0.034915,0.406778
65,4.266667,0.037697,0.439188
66,4.333333,0.043092,0.502038
67,4.400000,0.049688,0.578892
68,4.466667,0.055817,0.650290
69,4.533333,0.057536,0.670319
70,4.600000,0.061677,0.718572
71,4.666667,0.064872,0.755788
72,4.733333,0.075464,0.879191
73,4.800000,0.081907,0.954257
74,4.866667,0.091876,1.070399
75,4.933333,0.093378,1.087894
76,5.000000,0.095096,1.107911
77,5.066667,0.095327,1.110608
78,5.133333,0.093618,1.090697
79,5.200000,0.094613,1.102284
80,5.266667,0.093523,1.089590
81,5.333333,0.096908,1.129021
82,5.400000,0.098090,1.142793
83,5.466667,0.101192,1.178938
84,5.533333,0.103801,1.209337
85,5.600000,0.104049,1.212223
86,5.666667,0.095636,1.114200
87,5.733333,0.082815,0.964840
88,5.800000,0.068468,0.797691
89,5.866667,0.058160,0.677590
90,5.933333,0.046579,0.542670
91,6.000000,0.041246,0.480533
92,6.066667,0.035118,0.409140
93,6.133333,0.029428,0.342848
94,6.200000,0.020003,0.233039
95,6.266667,0.016012,0.186551
96,6.333333,0.017336,0.201971
97,6.400000,0.017394,0.202648
98,6.466667,0.015254,0.177714
99,6.533333,0.015920,0.185477
100,6.600000,0.013771,0.160435
101,6.666667,0.014404,0.167808
102,6.733333,0.014220,0.165671
103,6.800000,0.007978,0.092950
104,6.866667,0.004387,0.051106
105,6.933333,0.013949,0.162508
106,7.000000,0.013723,0.159879
107,7.066667,0.001145,0.013341
108,7.133333,0.003194,0.037207
109,7.200000,0.004250,0.049512
110,7.266667,0.004642,0.054081
111,7.333333,0.004425,0.051551
112,7.400000,0.000935,0.010892
113,7.466667,0.002107,0.024542
114,7.533333,0.003107,0.036200
115,7.600000,0.002724,0.031736
116,7.666667,0.002410,0.028083
117,7.733333,0.002621,0.030537
118,7.800000,0.003373,0.039302
119,7.866667,0.005180,0.060353
120,7.933333,0.005363,0.062483
121,8.000000,0.005765,0.067161
122,8.066667,0.004483,0.052234
123,8.133333,0.003880,0.045208
124,8.200000,0.002928,0.034117
125,8.266667,0.002641,0.030774
126,8.333333,0.001304,0.015194
127,8.400000,0.001603,0.018670
128,8.466667,0.000001,0.000017
129,8.533333,0.000178,0.002076
130,8.600000,0.000000,0.000000
131,8.666667,0.000000,0.000000
132,8.733333,0.001207,0.014057
